
14:14:38 || Event: Published: Kroete_RIG  ||   BackUp: Kroete_RIG_BackUp_v023.ma   ||   OrigScene: kroete_rig_v143_sl_toesIO.ma   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/030_Krt_RIG/Krt_RIG_OUT
14:15:21 || Event: Published: Kroete_RIG  ||   BackUp: Kroete_RIG_BackUp_v024.ma   ||   OrigScene: kroete_rig_v143_sl_toesIO.ma   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/030_Krt_RIG/Krt_RIG_OUT
14:45:57 || Event: Published: Kroete_BND  ||   BackUp: Kroete_BND_BackUp_v002.mb   ||   OrigScene: Kroete_BND_v014_sl_cookieMainConstIO.mb   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/050_Krt_BND/Krt_BND_OUT
14:58:00 || Event: Published: Kroete_BND  ||   BackUp: Kroete_BND_BackUp_v003.mb   ||   OrigScene: Kroete_BND_v016_sl_cookieMouthIO.mb   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/050_Krt_BND/Krt_BND_OUT
15:17:16 || Event: Published: Kroete_BND  ||   BackUp: Kroete_BND_BackUp_v004.mb   ||   OrigScene: Kroete_BND_v018_sl_cookieMouthIo.mb   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/050_Krt_BND/Krt_BND_OUT
15:47:52 || Event: Published: Kroete_COOKIE  ||   BackUp: Kroete_COOKIE_BackUp_v009.mb   ||   OrigScene: Krt_COOKIE_v009_sl_visibilityOverride.mb   ||   Folder: //bigfoot/kroetenlied/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/040_Krt_COOKIE/Krt_COOKIE_OUT
15:50:37 || Event: Published: Kroete_COOKIE  ||   BackUp: Kroete_COOKIE_BackUp_v010.mb   ||   OrigScene: Krt_COOKIE_v010_sl_visibliityOvR.mb   ||   Folder: //bigfoot/kroetenlied/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/040_Krt_COOKIE/Krt_COOKIE_OUT
15:53:57 || Event: Published: Kroete_BND  ||   BackUp: Kroete_BND_BackUp_v005.mb   ||   OrigScene: Kroete_BND_v019_sl_cookieVisIo.mb   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/050_Krt_BND/Krt_BND_OUT
16:04:42 || Event: Published: Kroete_RIG  ||   BackUp: Kroete_RIG_BackUp_v025.ma   ||   OrigScene: kroete_rig_v144_sl_buttJntAdded.ma   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/030_Krt_RIG/Krt_RIG_OUT
16:06:47 || Event: Published: Kroete_RIG  ||   BackUp: Kroete_RIG_BackUp_v026.ma   ||   OrigScene: kroete_rig_v144_sl_buttJntAdded.ma   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/030_Krt_RIG/Krt_RIG_OUT
16:14:18 || Event: Published: Kroete_RIG  ||   BackUp: Kroete_RIG_BackUp_v027.ma   ||   OrigScene: kroete_rig_v144_sl_buttJntAdded.ma   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/030_Krt_RIG/Krt_RIG_OUT
16:26:24 || Event: Published: Kroete_RIG  ||   BackUp: Kroete_RIG_BackUp_v028.ma   ||   OrigScene: kroete_rig_v144_sl_buttJntAdded.ma   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/030_Krt_RIG/Krt_RIG_OUT
16:30:30 || Event: Published: Kroete_RIG  ||   BackUp: Kroete_RIG_BackUp_v029.ma   ||   OrigScene: kroete_rig_v144_sl_buttJntAdded.ma   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/030_Krt_RIG/Krt_RIG_OUT
18:01:51 || Event: Published: Kroete_BND  ||   BackUp: Kroete_BND_BackUp_v006.mb   ||   OrigScene: Kroete_BND_v021_sl_skinningButt.mb   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/050_Krt_BND/Krt_BND_OUT
18:12:25 || Event: Published: Kroete_RIG  ||   BackUp: Kroete_RIG_BackUp_v030.ma   ||   OrigScene: kroete_rig_v145_sl_jointVisFix.ma   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/030_Krt_RIG/Krt_RIG_OUT
18:32:08 || Event: Published: Kroete_BND  ||   BackUp: Kroete_BND_BackUp_v007.mb   ||   OrigScene: Kroete_BND_v022_sl_skinning.mb   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/050_Krt_BND/Krt_BND_OUT
18:47:13 || Event: Published: Kroete_BND  ||   BackUp: Kroete_BND_BackUp_v008.mb   ||   OrigScene: Kroete_BND_v023_sl_skinning.mb   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/020_Kroete/050_Krt_BND/Krt_BND_OUT
19:06:11 || Event: Published: Svobodan_GEO  ||   BackUp: Svobodan_GEO_BackUp_v003.mb   ||   OrigScene: Svobodan_GEO_v003_sl_CleanUp.mb   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/010_Svobodan/010_Svo_GEO/Svo_GEO_OUT
19:08:26 || Event: Published: Svobodan_GEO  ||   BackUp: Svobodan_GEO_BackUp_v004.mb   ||   OrigScene: Svobodan_GEO_v003_sl_CleanUp.mb   ||   Folder: N:/045_Production_Film/3D/ASSETS/Charakter/010_Svobodan/010_Svo_GEO/Svo_GEO_OUT
